Rank,User,Score,Time,Country
1,21881A05B9,60.00,33:37,
1,21881A0585,60.00,49:41,
1,Avanthika_Katari,60.00,1:10:41,
1,maharshiannam151,60.00,1:53:32,
1,21881A05C4 ,60.00,2:05:09,
1,2004ashishsharma,60.00,2:06:38,
1,tyugendharnaidu1,60.00,2:09:26,
1,sujithreddykalam,60.00,2:09:35,
1,pvharshavardhan3,60.00,2:13:04,
1,yaswanthvitta,60.00,2:13:38,
1,Anirudh_1304,60.00,2:13:59,
1,21881A0568,60.00,2:18:10,
1,21881A05A1,60.00,2:20:14,
1,mdchandpasha251,60.00,2:24:49,
1,erothusaikumar22,60.00,2:26:03,
1,reddypranay713,60.00,2:34:19,
1,pranavpattapu,60.00,2:34:44,
1,shirishamamilla2,60.00,2:37:28,
1,Prashanthadama,60.00,2:46:10,
1,srija187,60.00,2:49:43,
1,charanrockz2703,60.00,2:49:56,
1,prahasith113,60.00,2:53:31,
1,akshayreddy_k12,60.00,2:54:43,
1,sadhikamurari,60.00,2:58:25,
1,chennupatidatha1,60.00,3:00:28,
1,sreethaj,60.00,3:04:04,
1,gourishettyakhi2,60.00,3:11:10,
1,kranthilanda71,60.00,3:13:42,
1,shivakumarbaira1,60.00,3:16:24,
1,n_vijaysimhared1,60.00,3:20:46,
1,21881A05A3,60.00,3:34:04,
1,21881A05A4,60.00,3:42:05,
1,koushikchinnu363,60.00,3:44:13,
1,21881A05C7,60.00,3:49:29,
35,saisreekarchava1,57.27,1:45:26,
35,raghavi_1003,57.27,1:46:34,
35,makampravalika3,57.27,2:15:54,
35,kumavatprakash,57.27,2:23:35,
35,keerthan_kumar,57.27,2:38:08,
35,Rakeshvemula710,57.27,3:26:58,
41,velakurthinavya,54.55,1:05:32,
41,_21881A05C6,54.55,1:51:10,
41,ballasunnyyadav,54.55,2:13:34,
41,srikeshshekapur1,54.55,2:22:18,
41,_NOT_FOUND,54.55,2:55:03,
41,divyanjalinaidu1,54.55,2:57:49,
41,katojusrikaroff1,54.55,2:59:03,
41,gashwitha2003,54.55,2:59:05,
41,sandeepkumaar891,54.55,3:04:49,
41,praneethprani146,54.55,3:07:43,
41,manaswikarike,54.55,3:27:02,
52,vamshigorige09,51.82,1:59:21,
52,21881A05C1,51.82,2:00:39,
54,vvsteja2311,46.36,1:50:23,
54,aradhiakhilesh,46.36,1:56:17,
54,srinakasam,46.36,2:00:24,
54,chakriadi3,46.36,2:03:10,
54,erumallasaiteja1,46.36,2:34:18,
54,thodupunurikart1,46.36,2:45:14,
54,abhishekbitla193,46.36,2:53:33,
54,avishyajanagama1,46.36,3:04:39,
54,vanama175,46.36,3:05:28,
63,nikhilshravan71,43.64,40:21,
63,veerapramodaddu1,43.64,2:13:52,
65,manikantadepaka1,40.91,1:24:27,
65,rvr55root,40.91,1:43:12,
65,mohammedaslammo1,40.91,2:38:24,
68,shirishaboddu89,32.73,1:23:12,
68,mahagavesomnath1,32.73,1:38:02,
68,sairahulkamini,32.73,2:51:50,
71,ravikarthik2003r,30.00,16:52,
71,dteja0877,30.00,20:49,
71,kiransaidevalla,30.00,21:06,
71,nirup585,30.00,23:57,
71,sishir9,30.00,24:45,
71,gbhuvi739,30.00,25:31,
71,g_madhulika141,30.00,25:36,
71,jakkaniankith201,30.00,26:36,
71,21881A0587,30.00,26:47,
71,pvsubedar03,30.00,34:51,
71,poojithachalla_1,30.00,35:40,
71,gayathriaddula51,30.00,37:49,
71,nasimoddinmoham1,30.00,38:13,
71,keerthikotla2,30.00,38:49,
71,tarunrohan1446,30.00,41:31,
71,lonkamahajan,30.00,43:53,
71,K_Haripriya,30.00,47:17,
71,reddysathwika57,30.00,49:15,
71,nbhavani1031,30.00,52:22,
71,deepamadhuri8520,30.00,55:54,
71,yeswanthsaimahe2,30.00,59:11,
71,shaikshahana21cs,30.00,1:03:42,
71,molgarasahaja,30.00,1:06:36,
71,sudeepthiravipa1,30.00,1:07:40,
71,indrasena978,30.00,1:10:27,
71,uppalavenkatasa1,30.00,1:13:25,
71,sandyapogusande1,30.00,1:14:53,
71,kowshikinjeti,30.00,1:16:52,
71,snehareddysingi1,30.00,1:17:42,
71,yogesh_mudyadam1,30.00,1:21:18,
71,venkateshbabuv21,30.00,1:21:20,
71,ivdsathvika,30.00,1:25:04,
71,utkarshmomula03,30.00,1:25:53,
71,gani_18,30.00,1:31:56,
71,dasarishivadeep1,30.00,1:34:07,
71,21881A05C3,30.00,1:34:26,
71,chittireddyveda,30.00,1:36:45,
71,saivardhan24,30.00,1:38:45,
71,mouryaaila,30.00,1:47:17,
71,ch_chandana2710,30.00,1:47:44,
71,munindrareddy289,30.00,1:53:31,
112,hasinisingiredd1,24.55,1:21:56,
113,chakalichandana1,0.00,00:00,
113,anjalibhukya589,0.00,00:00,
113,narsimhakurva911,0.00,00:00,
113,bashasameer810,0.00,00:00,
113,pranayakomatire1,0.00,00:00,
113,rajkumarbanothu2,0.00,00:00,
113,akshaykumarpoka1,0.00,00:00,
113,anirudhtippani,0.00,00:00,
113,deekondaruchith1,0.00,00:00,
113,vineelashanti,0.00,00:00,
113,gullanikhitha211,0.00,00:00,
113,somanathmajety,0.00,00:00,
113,swarajsudheer,0.00,00:00,
113,pranavraopolluk1,0.00,00:00,
113,vishalchavan0711,0.00,00:00,
113,sharathkumarsk31,0.00,00:00,
